q1,q2,q3,q4,q5,q6,q7,x,y,z
-135,5,-143,39,-148,40,62,0.593,-0.07,0.245
-54,-90,8,72,-112,2,98,-0.017,-0.049,0.473
-122,-64,2,72,-57,-7,-137,0.32,-0.433,0.358
-84,-34,-130,125,5,-86,167,0.073,0.634,0.116
48,-6,-57,117,-41,76,75,0.023,0.421,0.383
18,-65,-138,49,-112,-63,125,-0.622,-0.469,-0.001
-61,-121,54,31,138,105,-122,0.132,-0.607,0.398
-97,26,-169,44,152,-86,-97,-0.64,-0.421,0.632
-39,7,33,57,111,59,103,-0.009,-0.486,0.838
19,52,42,11,15,-13,-156,0.798,0.284,0.105
-19,38,169,26,-12,95,-44,0.528,-0.578,0.802
-86,-84,30,118,154,73,-24,0.303,-0.339,-0.0
-2,-3,-92,121,58,-3,-75,0.018,0.01,-0.108
-26,2,42,67,135,-60,127,0.133,-0.156,0.127
-84,-116,117,66,-56,103,150,-0.043,0.017,-0.146
1,34,50,55,147,97,33,0.335,0.318,0.055
6,-59,-123,110,-140,86,174,0.135,0.096,0.109
-135,-64,-32,-3,-46,-75,-163,-0.172,0.551,0.196
-64,51,106,140,-22,38,-80,-0.556,-0.603,0.553
-8,-100,19,122,-22,68,96,-0.426,-0.069,0.171
-141,55,98,103,29,-59,84,-0.149,0.235,0.122
10,-65,-94,104,-106,89,-131,-0.45,0.124,0.354
-106,-6,85,27,152,-32,40,-0.522,-0.021,0.838
-48,-64,120,6,45,-25,37,0.723,-0.408,0.725
-102,12,30,22,136,-39,-116,-0.087,0.073,0.05
-136,-58,-37,16,111,67,-30,-0.064,0.122,0.338
-91,-42,63,77,-53,48,-139,-0.155,0.213,-0.158
4,12,-81,1,-31,-57,-123,0.189,-0.165,1.208
-123,11,148,51,18,90,-35,0.63,-0.091,0.043
-27,30,152,144,33,-78,144,0.109,0.558,0.564
-72,13,46,111,-152,5,147,-0.403,0.14,0.178
42,-11,133,83,68,84,-73,-0.598,-0.437,0.104
-29,25,105,47,87,13,-45,0.361,-0.358,0.265
-2,-51,-43,144,148,10,-116,0.158,0.447,0.6
3,-82,-66,1,-17,109,-71,0.487,0.126,0.552
-87,55,63,100,-117,-67,-84,-0.191,-0.565,0.13
