q1,q2,q3,q4,q5,q6,q7,x,y,z
-138,-20,-158,83,-66,-60,28,-0.068,-0.143,0.816
41,-20,47,36,-88,105,-165,0.24,-0.308,0.499
-39,-98,-2,58,169,-9,-112,-0.374,-0.618,0.158
14,13,59,142,144,65,27,-0.051,0.579,0.581
-57,-79,97,66,64,32,-75,0.069,0.276,-0.032
7,-64,15,0,-105,-86,130,-0.191,-0.677,0.413
-88,28,-79,114,3,33,-148,0.542,-0.629,-0.097
29,40,152,57,-161,102,-108,-0.813,-0.309,-0.071
-7,-118,171,139,49,-49,9,0.547,-0.772,0.156
31,-39,68,132,62,-23,119,-0.624,-0.237,0.432
-7,21,-162,42,-136,-51,-100,-0.413,-0.591,0.267
-141,1,25,30,97,30,141,-0.438,-0.142,0.969
-51,24,70,32,-21,12,59,-0.352,0.634,0.845
-61,-49,163,41,10,80,116,0.023,-0.068,0.444
-32,-110,-31,141,160,14,-136,-0.41,0.175,0.225
-108,-115,106,41,-17,36,33,-0.428,-0.193,-0.008
-38,-87,-139,53,30,54,13,0.108,-0.47,0.329
19,45,38,107,155,-75,-135,0.912,-0.152,0.804
-99,-92,-130,120,144,-38,-54,0.376,0.908,-0.145
-77,55,101,143,-153,72,-3,-0.264,0.031,0.301
7,-9,-129,75,19,25,-29,0.128,-0.832,-0.17
41,42,97,17,65,104,166,0.33,0.35,0.416
-64,-10,-135,85,158,4,-112,0.104,-0.381,-0.177
-64,-11,53,109,-53,5,-126,0.491,-0.058,0.335
34,22,-5,145,-93,110,-92,0.235,0.096,-0.231
-41,9,-93,38,10,92,-98,-0.444,0.342,-0.23
-78,-34,-138,134,134,7,38,0.481,0.328,0.53
15,-56,-75,112,129,-9,35,-0.163,-0.011,0.799
-1,-25,-111,18,135,-67,-90,-0.166,-0.364,0.682
-26,12,-20,82,-166,27,100,-0.18,0.297,0.956
-136,-58,113,38,-145,-55,-151,0.544,-0.12,0.854
-18,-29,69,57,104,62,46,0.694,-0.316,-0.319
42,27,101,21,-113,57,-121,-0.389,0.258,-0.176
-125,26,-153,95,164,-57,-57,0.47,0.055,1.172
-132,56,-20,1,98,5,-164,0.151,-0.487,0.899
-15,0,-21,101,-104,53,132,-0.304,0.102,0.843
-50,-46,171,127,-158,-16,120,-0.486,-0.339,0.29
-13,-29,-170,50,23,-35,74,0.396,-0.478,0.144
-44,43,67,27,-7,-49,96,-0.504,-0.329,0.06
-62,-105,-119,86,-18,34,-36,0.586,0.202,0.493
-36,-37,81,89,-104,-72,174,0.227,0.523,0.385
30,-79,132,131,32,-14,-113,-0.536,-0.559,0.318
-56,30,-109,7,115,11,160,-0.116,-0.722,0.122
-25,46,-45,46,95,8,158,0.006,-0.28,0.562
-132,-38,-108,90,109,20,-131,0.191,-0.602,0.523
-40,-29,-167,28,-136,9,134,-0.065,-0.116,0.215
12,19,-88,113,60,1,163,-0.019,-0.003,1.183
44,-120,69,100,38,-14,-115,-0.477,-0.326,0.72
19,-111,-42,63,76,-27,-136,0.631,-0.375,-0.109
-54,32,-2,86,-13,51,-141,-0.568,-0.248,0.714
-127,-96,-147,7,37,42,-29,-0.579,0.461,0.345
-3,33,-162,126,-132,8,81,-0.833,-0.008,0.017
-108,26,80,46,86,1,107,-0.324,-0.094,0.994
-4,-107,99,52,-123,-57,-19,0.659,0.212,0.556
-41,-15,113,96,-131,-34,1,0.235,0.428,0.425
-102,-112,-34,33,-72,112,-124,0.064,0.074,0.929
-17,-43,142,92,-142,91,27,-0.08,0.382,0.266
-64,-56,-93,51,174,-32,-170,0.625,-0.454,0.917
2,20,-131,-2,-101,44,54,0.518,0.321,0.541
-102,-82,-121,5,24,-17,174,0.038,0.459,0.728
-112,1,107,77,-71,-27,-72,0.393,0.571,0.108
-17,-81,61,47,149,-46,93,0.162,-0.083,0.366
-29,40,-35,125,-140,51,75,0.079,0.744,-0.296
-83,-43,-96,52,-55,15,50,-0.262,-0.032,0.513
-96,-62,-57,146,121,-41,-16,-0.369,-0.204,0.308
-72,-84,-46,-1,10,-26,-43,0.593,0.451,-0.06
32,-16,-148,116,43,64,5,0.001,0.163,-0.329
-29,-15,-138,3,-161,-43,172,0.038,-0.041,0.682
-33,-81,1,40,-34,-84,-84,0.163,-0.33,0.198
-81,17,-39,15,38,-1,55,0.538,-0.477,0.337
16,22,40,8,55,80,173,-0.481,-0.039,-0.276
25,-102,72,45,-68,22,-69,-0.388,0.039,0.061
-44,-16,30,38,-105,114,-110,0.037,-0.87,-0.143
25,-77,95,103,125,25,-119,0.011,0.232,0.864
-139,4,-41,117,94,2,159,-0.424,0.327,0.102
-138,46,15,96,153,41,-136,0.308,0.222,0.212
-34,-100,-145,137,74,13,154,0.056,-0.004,1.116
20,-10,1,5,104,-77,131,0.728,0.296,0.246
-107,-93,80,72,86,-5,89,0.009,-0.087,0.913
46,-76,28,82,25,-84,-55,0.017,-0.245,0.904
30,30,111,71,132,-52,19,-0.649,0.329,0.207
0,-1,-123,-1,-81,87,-4,-0.217,0.138,1.006
1,-119,-39,65,-56,1,-12,0.221,-0.431,0.392
-12,-61,-149,-1,-91,87,73,0.915,-0.183,0.377
-110,-104,166,144,-142,-73,-28,-0.166,0.621,0.161
-111,-94,156,14,-99,-52,-97,0.425,0.172,0.769
-66,6,132,111,67,21,22,-0.083,0.354,0.434
-91,-26,-152,-1,-110,114,-164,0.665,-0.127,0.409
-122,12,0,102,102,86,-64,-0.328,0.184,0.805
-44,2,35,68,64,70,-62,0.537,-0.511,-0.213
-4,-45,42,100,-168,-11,-31,0.277,-0.252,0.964
44,-47,-160,111,108,109,-164,-0.304,-0.276,0.007
-134,-28,105,54,31,31,3,-0.091,-0.436,-0.062
39,-104,70,27,-67,-8,-172,0.168,-0.399,0.035
-130,50,157,34,-3,83,-15,0.033,0.599,0.608
34,-54,-9,16,-78,-77,-162,-0.096,-0.101,0.035
-132,16,2,56,12,32,-128,-0.342,-0.753,-0.205
-44,33,-73,47,-81,87,66,0.478,0.282,-0.087
34,-100,-46,144,-57,-2,-27,-0.495,-0.021,0.735
-128,-74,-108,145,130,22,63,-0.613,-0.34,0.384
-81,59,-130,33,-139,77,142,0.257,0.073,-0.407
-125,-54,24,141,-72,16,-98,0.121,-0.119,0.338
-53,53,-74,50,-79,-51,12,-0.637,0.504,-0.328
-101,-48,50,22,97,88,-103,-0.226,-0.232,0.664
-37,-15,79,98,-101,54,-37,0.125,-0.035,-0.133
-67,32,-117,44,-156,-61,127,-0.211,0.078,1.064
11,-2,9,101,-100,-34,44,-0.147,0.522,0.033
-50,-53,-36,-3,35,-41,88,-0.046,0.046,0.107
-55,-35,21,114,111,-3,-10,0.414,0.496,-0.001
-59,-33,-93,105,29,-31,129,-0.299,0.336,0.77
-30,-85,34,32,-31,22,-97,0.248,0.185,-0.263
-23,29,159,37,-15,115,10,0.556,-0.059,0.417
-39,-106,-98,37,-14,6,-93,-0.152,-0.838,0.771
-99,-103,-173,105,-143,28,115,0.362,-0.363,0.208
-136,-67,99,132,-155,-7,169,0.053,1.035,0.276
47,-31,-141,69,4,-42,60,-0.524,-0.049,0.826
-76,30,36,5,116,-10,27,-0.164,0.302,0.399
-141,32,-152,19,153,-27,42,-0.462,0.268,0.886
-9,-75,46,44,123,19,138,-0.389,-0.186,1.22
-32,4,167,50,25,111,-89,-0.536,0.101,-0.025
-127,37,-81,78,-93,119,4,0.113,-0.502,0.737
-53,16,55,145,-120,27,-91,-0.484,0.578,0.042
39,44,167,139,-152,38,35,-0.031,-0.406,1.134
19,2,102,56,56,15,146,0.543,-0.371,-0.035
6,18,3,10,-101,-78,-6,-0.205,0.303,0.337
19,48,-131,75,41,-70,21,-0.479,-0.685,-0.107
16,-37,41,10,-167,-20,115,-0.463,-0.432,0.271
-28,-26,90,72,-93,-67,94,-0.151,-0.128,0.401
-22,-85,120,29,-26,11,150,0.098,0.15,0.477
-108,-61,-171,144,-122,81,-75,-0.026,-1.017,0.146
44,54,68,123,17,65,-87,0.256,-0.441,0.271
-76,5,-6,129,90,26,-136,0.182,-0.364,0.392
-76,-37,-111,121,169,45,-109,0.776,0.098,0.453
-96,-99,89,139,-66,28,-133,-0.069,-0.689,0.343
42,-42,58,13,124,62,-85,-0.604,-0.814,0.082
28,-93,-141,24,-37,-75,81,-0.842,0.435,0.234
11,3,-121,15,-20,19,-73,-0.299,-0.568,0.58
-76,-89,140,47,-136,10,-16,0.046,-0.082,0.56
-51,-103,-113,107,-131,-42,70,-0.659,0.211,0.125
-29,1,-115,105,-107,77,64,-0.623,0.233,0.712
-126,-59,74,146,-130,50,-39,-0.197,-0.84,0.419
-72,-15,106,18,115,82,-82,0.134,0.519,-0.427
-36,-24,116,6,-124,49,106,-0.113,0.854,0.702
47,-36,-77,85,75,1,20,-0.413,-0.25,0.637
-119,-40,-149,7,-113,55,-88,-0.384,-0.651,-0.056
-81,14,-89,19,-109,-34,-81,0.671,0.26,0.247
48,10,-83,112,168,-61,-164,-0.391,0.151,-0.238
-90,-42,-97,0,-60,68,53,-0.804,-0.566,0.447
-94,47,162,113,159,103,-84,0.023,-0.599,-0.038
-84,-107,-101,16,93,-84,101,-0.305,0.038,0.352
-74,-53,-21,136,174,2,-154,0.152,0.27,-0.124
-89,-91,-61,94,4,46,141,-0.619,-0.192,0.093
-37,-110,-128,37,-63,-62,81,0.509,-0.472,-0.395
-97,45,159,130,-23,52,40,-0.266,0.312,0.317
-3,31,-40,91,57,17,-168,0.504,0.065,0.413
-38,47,-69,108,-122,52,-158,-0.298,-0.57,-0.269
-78,54,38,73,-154,117,-87,-0.317,0.16,0.1
-17,-49,-173,10,16,-86,119,-0.309,0.104,0.239
-45,1,61,121,-99,-84,-51,-0.0,-0.062,0.79
-138,-40,-150,146,141,-56,-61,-0.805,-0.172,0.169
-93,-78,142,52,-151,103,24,0.284,0.061,-0.207
-97,0,-170,48,130,-80,-49,-0.073,0.444,0.491
-83,-114,-161,25,99,35,-62,-0.272,0.155,0.742
42,-103,-20,147,15,101,91,-0.564,-0.085,0.601
-49,-35,157,125,-174,78,-119,0.432,0.217,-0.225
46,-65,-147,110,-158,112,-174,-0.119,0.259,-0.091
-36,-112,-71,58,41,-38,-91,0.413,0.1,1.013
-40,-66,-57,40,-62,-13,-124,-0.303,0.522,0.623
-7,-21,-161,141,-95,24,-160,0.095,0.303,-0.15
-7,-48,-15,70,1,-75,-54,0.202,-0.934,0.584
2,-93,160,123,150,-60,172,-0.398,0.388,0.381
-21,-2,11,107,-144,26,-160,-0.334,0.857,0.393
-50,-15,4,106,-68,1,-51,-0.513,-0.614,0.015
-79,-98,114,122,121,-44,-45,0.455,-0.009,-0.046
-57,-15,-24,9,8,-38,59,-0.329,0.323,0.573
-122,-122,-28,100,-142,65,-35,0.076,0.608,0.217
41,-88,-104,79,134,3,-5,-0.265,-0.013,0.494
-64,-112,113,17,55,11,158,0.058,0.047,0.66
-134,-115,-118,97,-68,-38,-167,0.43,0.07,0.65
-28,52,-65,100,-133,-46,-109,-0.642,-0.02,0.013
-79,-87,-47,101,-108,110,134,-0.489,0.329,0.649
-92,20,149,90,-14,100,-60,0.377,0.128,0.847
-105,-112,-16,94,-76,85,-141,-0.101,0.619,0.418
3,-94,49,69,105,-78,-23,-0.339,-0.11,0.813
-45,25,143,142,-4,23,18,0.13,0.305,0.635
-7,-40,29,35,-70,5,-97,0.232,-0.056,-0.027
-56,9,129,102,-44,98,9,0.631,-0.02,-0.098
-129,33,-40,18,-93,65,124,-0.573,0.56,0.31
-73,29,-30,87,-95,-58,-94,0.482,0.391,0.405
-81,-43,-134,101,165,69,-101,0.663,0.093,1.082
-79,5,-5,116,-161,51,-111,-0.323,-0.263,0.565
-116,-27,-6,124,155,66,124,-0.069,0.222,0.237
-54,23,-170,53,-1,16,-35,0.387,0.13,0.546
16,-7,-84,102,9,0,-154,0.44,0.697,0.389
37,-7,165,18,117,-4,-124,-0.142,-0.233,0.701
-50,59,-79,139,-144,-30,170,0.818,0.18,0.067
20,16,123,12,-99,-30,-94,0.502,-0.588,-0.005
32,-95,117,120,-24,-42,114,-0.022,-0.619,0.525
-70,-8,-83,39,84,-28,26,-0.288,-0.24,0.483
48,-89,162,14,-128,-30,-25,-0.171,0.656,0.768
50,-40,-30,-2,-24,-51,-160,-0.379,-0.269,0.698
48,-87,-77,10,-122,114,103,0.275,-0.006,0.668
-111,14,50,102,138,67,-129,0.098,0.809,0.341
-87,-66,123,38,-107,37,79,0.762,-0.334,-0.279
-18,-13,108,33,-172,24,-39,-0.333,0.504,0.64
-98,7,-18,13,110,-50,-94,-0.691,0.458,0.95
-23,36,-14,24,-10,-35,46,0.206,-0.396,0.335
-63,-69,-22,114,6,13,157,-0.366,0.27,1.059
-2,57,62,34,113,4,42,-0.475,0.018,0.687
-12,-63,-65,11,168,15,166,-0.303,0.093,0.526
-131,42,-112,44,-2,-3,-107,0.16,-0.507,0.101
-132,-115,-124,82,115,21,-35,-0.496,-0.232,-0.129
-97,-48,-63,84,-56,46,-4,-0.091,0.271,0.447
-2,-61,-92,139,-127,4,74,-0.549,-0.554,0.444
-102,-20,141,88,-46,-35,9,-0.156,0.32,0.728
42,-72,87,134,-31,-81,-59,-0.487,0.045,0.691
21,-103,-85,84,2,-6,-76,-0.205,0.151,-0.366
-86,-101,-123,15,-174,20,157,-0.184,-0.389,0.117
-37,-108,-108,55,66,14,144,-0.29,-0.185,0.006
-87,-90,-139,100,170,117,82,0.304,-0.49,0.071
-130,-49,-160,30,96,47,-136,0.042,0.648,0.434
-65,-55,123,102,171,73,108,-0.133,-0.484,0.599
-35,-9,38,75,-93,36,-153,0.538,0.544,0.093
-21,26,165,86,141,84,-78,-0.242,0.05,0.351
-93,-3,-31,35,153,39,170,0.084,0.066,0.539
-12,-78,168,38,-153,13,44,0.23,-0.867,-0.15
-110,-44,-78,3,171,71,-5,-0.044,-0.181,0.228
-91,-121,134,28,162,102,142,0.463,-0.3,0.484
-31,-80,2,65,105,0,-49,0.345,0.55,-0.138
-92,18,-45,90,15,-2,81,0.3,0.25,0.288
-4,-30,11,19,-74,-37,-18,-0.117,1.008,0.511
-114,-85,-81,4,3,26,-116,-0.249,-0.134,0.611
-8,-51,33,132,-97,18,-33,0.2,0.618,0.925
11,-72,34,37,118,-64,80,-0.704,0.3,0.156
-74,8,11,147,31,-14,69,0.447,0.061,0.761
-59,34,-112,26,-80,111,-16,-0.217,0.271,-0.289
-25,-68,158,149,130,23,-91,0.059,-0.168,0.56
-27,4,148,53,137,-90,-51,-0.33,-0.168,-0.057
-53,-13,-5,141,167,12,148,-0.422,-0.34,0.392
-136,-97,-54,137,54,84,-161,0.314,-0.134,0.262
4,-38,-48,89,-14,11,-165,0.447,0.302,0.829
-48,-18,8,117,79,86,-119,0.173,0.308,0.361
-29,43,166,140,-93,110,-127,0.023,-0.317,0.333
47,-74,150,101,99,-58,-137,-0.792,0.495,0.269
-50,-54,-97,86,-10,39,3,-0.058,0.076,-0.116
-127,-113,-84,80,-110,80,31,0.331,-0.324,0.82
-105,-115,-135,111,166,-11,-85,-0.211,-0.156,0.376
-55,-39,-35,44,95,1,148,0.363,-0.811,0.387
-135,-40,-11,34,8,-22,113,0.127,0.045,0.352
14,-119,-112,69,24,14,-26,0.22,0.557,0.96
-88,-78,-127,140,146,-52,38,0.246,-0.624,0.194
-21,-2,-140,107,-121,16,36,0.073,0.558,0.23
-33,-110,-54,35,169,-20,113,0.248,0.101,0.012
-139,-92,122,59,-76,-88,-23,0.606,-0.014,-0.059
-76,33,-153,76,-56,49,20,0.553,-0.704,0.648
-33,-120,-152,59,34,-33,117,-0.317,0.177,0.163
25,-76,68,57,97,116,90,0.047,-0.068,0.889
14,-71,25,92,-5,-16,133,0.315,-0.28,0.056
-95,22,33,131,6,-37,5,-0.626,-0.595,-0.064
-16,48,15,142,71,63,-170,0.236,-0.34,0.498
-32,-35,110,113,-167,7,27,-0.199,-0.835,-0.203
-57,-95,-50,146,-105,-55,-125,0.323,0.201,0.851
-120,-79,-31,39,-1,54,157,-0.118,-0.502,-0.238
-141,57,165,82,89,21,78,-0.137,-0.48,0.823
5,-92,152,3,-132,-57,8,-0.231,0.198,-0.153
-49,-60,50,82,-124,-44,-154,0.844,-0.162,-0.294
3,-32,36,122,100,52,88,0.489,0.064,0.276
-42,34,-21,18,10,48,158,0.388,0.293,-0.155
-23,-98,-162,39,-62,-15,78,0.271,0.271,-0.23
-132,-12,67,40,-66,59,-138,-0.085,-0.319,0.61
-24,-120,-128,112,130,-69,-85,-0.499,-0.076,0.949
-129,12,29,107,33,61,105,0.582,0.002,0.721
27,-28,-130,62,-61,-64,-161,0.744,-0.154,-0.125
21,6,-130,80,-49,32,57,0.165,0.512,0.775
-141,-12,-165,45,111,35,-33,-0.51,0.148,0.708
-117,-62,100,87,163,-46,86,-0.077,0.03,0.817
-120,-104,-90,50,-88,-4,148,0.066,-0.745,0.046
-97,-74,-110,62,29,9,-87,-0.499,0.041,0.159
-140,-122,72,122,-30,-69,170,0.245,-0.197,-0.245
35,-52,-59,76,80,-17,-50,0.437,0.591,0.112
7,-31,159,32,23,82,111,0.145,0.53,1.152
-107,41,39,125,33,97,-56,-0.005,-0.467,-0.23
-18,-8,-63,20,-68,-50,152,-0.187,-0.511,0.965
-22,-35,137,132,173,12,-85,-0.299,0.887,-0.136
-25,-33,-112,116,-165,51,-40,-0.078,0.14,0.873
1,-5,41,88,56,23,89,0.577,0.5,0.393
11,46,35,65,-24,-16,-16,0.113,-0.338,0.296
-124,-6,72,119,16,51,20,0.004,0.575,1.035
-95,5,6,14,92,-27,-136,-0.001,0.09,0.886
-106,-12,-114,45,-13,-2,12,0.487,0.217,0.92
9,-82,-28,35,-5,91,6,-0.171,-0.14,0.661
14,38,-99,27,-3,27,-132,-0.445,0.353,0.763
-132,-114,-108,94,91,30,69,-0.402,-0.194,1.009
-35,-56,60,136,107,-85,-107,-0.41,-0.046,0.707
-24,26,-153,60,-38,38,116,-0.44,0.267,0.451
-111,-84,-160,127,48,-83,138,0.361,0.504,-0.162
-99,-29,44,75,43,58,144,0.774,0.432,0.121
-47,-6,-38,23,19,12,68,0.32,0.322,0.536
-96,-35,-49,9,-141,32,-14,0.024,0.354,-0.211
30,-105,-88,38,173,-74,162,-0.226,-0.927,0.295
2,-109,133,11,93,112,59,0.465,0.339,0.403
-11,0,-67,56,-71,51,11,0.1,0.373,1.131
-93,-16,-41,31,-24,-43,-81,0.881,-0.005,-0.111
0,53,92,138,-36,20,164,0.168,-0.792,-0.172
-74,-22,-141,5,-149,18,52,0.327,-0.194,-0.467
-63,-75,95,68,-15,-33,149,-0.059,-0.051,0.987
29,-108,-14,73,25,-61,10,0.373,0.409,0.174
-5,2,-26,116,-116,-55,-12,0.439,-0.19,0.494
1,4,-166,58,-80,-64,111,0.408,-0.191,-0.376
7,-107,-8,23,-118,-78,-118,-0.249,-0.009,0.779
-35,-119,-71,73,77,46,73,-0.342,-0.16,0.388
-88,7,23,36,169,72,-6,0.186,0.187,0.735
-107,19,-38,31,-5,78,45,0.37,-0.039,0.905
-126,5,150,35,44,-36,139,-0.428,-0.176,0.043
-74,-20,17,145,80,23,140,0.176,-0.388,0.835
-42,17,-27,68,146,109,58,0.375,-0.481,0.4
4,-24,-12,144,10,70,-114,-0.609,-0.141,0.934
-9,-106,43,117,-69,104,-136,-0.163,0.106,0.758
-18,-15,24,43,-137,15,122,0.014,-0.601,-0.005
50,-48,-35,78,170,-40,27,0.537,-0.151,-0.089
-42,43,-150,146,-127,106,-100,-0.359,-0.386,0.901
13,23,-137,33,81,26,21,-0.697,-0.11,0.392
16,-62,-63,31,34,-88,112,-0.593,-0.111,1.1
-34,-122,-66,117,86,-69,48,0.46,-0.028,-0.002
-51,-78,-123,57,-155,-60,-91,-0.192,-0.416,-0.151
-36,25,-132,12,-55,55,-33,0.24,0.012,1.075
-56,-81,82,68,-103,29,119,0.049,0.164,0.794
19,11,-93,17,11,-52,69,0.162,-0.316,0.406
-87,24,76,74,-71,38,31,0.387,-0.62,0.522
-8,-88,167,122,135,-81,-13,0.18,0.532,0.361
20,-105,99,31,93,-7,138,0.65,0.723,0.076
-9,-46,-173,105,80,-72,-153,0.156,0.013,0.284
-32,-96,-106,35,145,-7,-30,-0.006,-0.202,0.787
-24,-12,100,74,102,-8,173,0.179,0.04,1.004
17,47,-76,45,-48,-23,75,-0.366,0.441,-0.029
-78,-104,-10,128,-159,12,-164,-0.147,-0.48,-0.126
-86,-43,57,146,-91,110,-57,-0.288,0.506,0.258
-56,-88,-43,35,40,11,163,0.39,-0.274,0.586
-16,-2,11,95,118,30,-138,0.675,0.418,0.506
-3,-26,-73,44,130,62,-10,0.643,0.347,0.819
-9,45,104,81,127,107,-67,-0.937,-0.215,0.595
-89,-7,95,48,-157,82,-76,-0.467,-0.362,0.48
21,29,16,138,136,-5,-32,0.633,-0.306,-0.113
-25,33,64,9,16,-49,-136,0.384,0.006,-0.267
47,-49,-66,8,119,-40,49,-0.579,0.023,0.777
-56,-40,-78,82,71,34,-40,0.264,-0.576,0.174
-29,-46,115,96,63,18,59,0.412,-0.547,-0.135
-33,51,75,148,-129,11,-79,-0.007,0.162,0.638
-137,13,0,49,-62,-18,149,-0.075,-0.021,1.099
-96,34,10,41,62,83,-103,0.053,-0.518,-0.13
-99,-37,121,15,4,52,-139,-0.32,0.661,0.437
19,14,-12,121,172,94,167,0.648,-0.314,-0.236
33,-56,106,15,169,101,46,0.565,-0.138,0.475
-94,-22,-3,45,-13,103,159,0.37,-0.168,-0.255
-108,-50,27,104,44,65,-24,0.046,-0.512,0.569
-133,45,-114,89,96,102,81,-0.22,-0.801,0.334
-76,-26,10,114,113,-46,-43,-0.545,0.204,0.726
33,-26,-8,115,7,96,143,0.392,-0.08,0.141
-14,30,-109,15,-107,-8,-144,-0.58,0.186,0.056
4,43,-47,47,-114,74,146,0.212,0.129,-0.049
-8,35,50,148,169,-24,-24,-0.581,-0.262,0.334
20,27,107,9,-44,45,-57,0.338,-0.312,0.388
-7,-97,83,90,64,26,26,-0.111,0.476,-0.0
13,4,-121,27,156,98,-54,0.107,-0.628,0.313
-103,9,-121,34,-149,30,-149,-0.559,-0.272,0.409
3,42,78,81,-129,82,-85,0.756,0.325,0.529
-80,-42,-14,4,-26,22,136,0.097,0.375,0.537
-41,27,164,121,165,42,137,-0.099,0.506,-0.047
44,44,-137,31,-123,45,100,-0.112,-0.265,1.08
-37,-116,-87,3,-118,30,-108,-0.113,-0.517,0.4
-95,56,-79,62,19,25,79,-0.008,-0.044,1.186
50,-39,31,110,19,-5,78,-0.112,-0.426,0.094
-104,-62,-142,43,-137,21,-163,-0.35,0.39,0.841
-49,-119,63,133,-25,-36,18,0.465,0.541,0.49
-71,7,42,114,-131,62,13,-0.286,-0.147,1.177
-139,-70,-148,51,162,-56,154,-0.558,0.635,0.614
-134,7,13,45,-67,-50,-93,-0.502,-0.852,0.563
-141,-54,35,84,-76,-74,-5,-0.518,-0.372,0.074
-48,-90,-80,6,55,-8,-89,0.702,0.153,0.13
11,27,-127,79,-97,72,117,-0.08,-0.095,0.373
11,-90,-164,131,-139,91,-5,-0.45,0.121,0.11
30,-11,73,60,117,-76,-115,0.448,-0.157,0.211
-83,-37,158,49,-160,70,-81,-0.483,-0.228,0.729
-77,-10,150,55,6,101,-53,-0.253,-0.822,0.09
-73,-45,64,61,-35,-1,46,0.478,0.296,0.731
-67,-118,28,122,-147,-85,-129,-0.283,0.138,0.601
-31,-74,-69,41,-86,-43,122,-0.076,-0.285,0.282
16,-33,-88,84,21,-41,-106,-0.047,0.024,0.454
-14,-39,5,16,130,78,55,-0.397,-0.033,0.301
-122,-3,109,32,-86,68,-93,-0.149,0.297,-0.559
25,-8,160,106,57,-69,16,-0.773,-0.165,0.654
-129,-6,-26,33,40,-55,25,-0.444,0.545,0.575
-100,39,156,18,-85,106,136,0.807,0.396,0.691
16,42,102,26,76,-46,43,0.58,0.373,0.336
-5,-46,-79,100,31,-79,102,-0.015,-0.554,0.105
49,-85,-31,10,-17,-69,133,-0.293,-0.169,0.676
-84,-11,20,90,156,96,159,-0.616,-0.134,-0.109
16,-119,-171,4,-28,25,-8,0.379,-0.265,0.581
-101,58,146,8,87,0,98,0.764,-0.166,-0.144
-22,-22,89,146,-164,57,126,0.525,0.177,-0.302
9,-25,-143,109,60,103,-78,-0.313,-0.331,0.634
-4,51,13,28,160,-21,2,0.124,0.167,0.305
-94,26,27,106,167,-34,84,0.305,-0.15,0.77
-88,29,-8,50,35,35,-124,-0.454,-0.335,0.188
35,-29,-32,123,-145,-63,-12,-0.303,-0.048,0.731
-91,28,-69,37,-16,39,53,-0.67,0.378,0.029
-134,-91,159,123,-28,22,73,-0.053,-0.003,0.221
-113,39,82,120,-130,82,94,1.054,-0.188,0.284
43,-109,85,1,-11,-29,-164,-0.322,-0.336,-0.061
-89,-61,8,96,-161,13,39,0.593,-0.477,-0.17
-31,-23,-97,79,-98,-22,62,0.172,-0.034,0.083
-35,57,-110,124,21,94,-115,-0.762,0.189,0.514
-114,-33,-62,29,-108,-53,54,-0.017,0.016,0.539
-95,-58,22,129,-18,-70,-97,0.023,0.492,0.046
-19,-20,-77,41,-118,-18,129,-0.023,-0.011,-0.093
-130,-112,62,71,2,-86,-33,0.357,0.37,0.178
23,-105,-83,113,26,-2,-174,-0.633,-0.421,0.544
-67,52,-106,14,110,-43,151,-0.198,0.804,-0.216
-29,-94,116,45,125,88,-9,-0.032,-0.396,1.123
-32,-39,110,13,171,35,-11,-0.514,0.174,0.168
-135,-40,-24,126,-9,20,-28,0.494,0.681,-0.025
-122,-82,11,47,119,-50,-115,0.301,0.343,0.12
-91,57,-20,112,142,-15,96,-0.329,-0.283,0.662
-69,-59,116,55,103,-81,160,-0.565,-0.113,0.404
32,53,75,57,-73,15,142,0.252,-0.34,-0.259
-85,-78,170,69,14,99,160,0.534,0.596,0.111
30,-55,-45,56,134,67,77,-0.334,-0.738,0.473
-109,-32,83,46,9,-25,22,0.369,-0.514,0.729
30,19,-79,56,93,85,-66,0.036,-0.358,0.683
38,-64,154,32,-83,68,24,-0.492,-0.67,0.541
-24,16,152,58,-138,-24,89,-0.291,-0.444,-0.103
-94,-16,-32,145,153,-2,3,0.085,-0.695,0.16
9,-63,-28,113,72,30,9,0.334,0.002,1.071
12,41,-126,85,54,77,-162,-0.233,-0.272,0.59
-15,51,64,91,-172,119,38,-0.413,-0.039,-0.055
3,-21,-154,43,-12,38,63,0.812,0.237,0.347
-27,-63,-27,53,-160,100,28,0.041,0.431,0.156
-97,29,32,92,-39,-76,37,-0.396,0.264,0.513
-98,41,75,62,161,35,-14,0.035,0.264,-0.188
-52,-105,-89,61,-12,17,-5,-0.169,-0.43,0.694
45,-52,-18,67,170,110,-28,0.106,-0.437,0.53
30,-43,-44,63,-8,9,-142,-0.051,-0.45,0.779
29,19,44,90,-128,36,-53,-0.466,-0.278,0.299
-139,10,65,61,-152,52,-126,-0.518,0.264,0.162
7,-85,-111,138,-137,-25,29,0.72,-0.483,-0.268
-90,52,-43,88,-58,12,-52,-0.751,-0.741,0.346
-25,-24,-171,120,71,17,-68,0.356,-0.404,0.815
-105,-29,-156,115,1,10,-110,0.375,0.106,-0.076
-35,19,-51,122,44,81,-76,0.185,0.614,0.418
-3,-43,-134,14,93,105,138,-0.349,0.43,0.824
38,-103,-171,110,-86,104,23,0.092,-0.11,-0.026
-141,-40,59,99,-138,72,37,0.337,0.42,0.081
-81,-21,158,78,-142,-25,140,-0.39,-0.019,0.691
-36,40,-63,141,-61,-55,-12,0.156,-0.174,0.316
-128,-11,77,52,-65,69,115,-0.319,-0.688,-0.159
-27,9,100,114,-128,34,123,-0.581,-0.046,-0.167
